Skills,Experience_Level,Description,Budget_Project
"Mobile Development: hybrid app development, android app development, mobile app design, mobile app redesign; General: ",Entry Level,"Entry Level Mobile Development professional with experience in hybrid app development, android app development, mobile app design, mobile app redesign.",$236-$859
"Education & Training: training online lms, learning theory, teaching spanish; General: ",Intermediate,"Intermediate Education & Training professional with experience in training online lms, learning theory, teaching spanish.",$514-$2068
"Cybersecurity: information security consultation, vpn, security testing; General: agile, project management",Intermediate,"Intermediate Cybersecurity professional with experience in information security consultation, vpn, security testing.",$1336-$2228
"Education & Training: training, teaching; General: git",Expert,"Expert Education & Training professional with experience in training, teaching.",$4680-$7568
"DevOps: azure blockchain service, azure app service; General: ",Intermediate,"Intermediate DevOps professional with experience in azure blockchain service, azure app service.",$1410-$2586
"Database Management: database programming, database development; General: git",Expert,"Expert Database Management professional with experience in database programming, database development.",$3594-$9188
"Education & Training: program evaluation, executive coaching, curriculum development, curriculum design; General: project management",Intermediate,"Intermediate Education & Training professional with experience in program evaluation, executive coaching, curriculum development, curriculum design.",$1110-$1927
"Business & Consulting: business planning & strategy, business analysis; General: ",Entry Level,"Entry Level Business & Consulting professional with experience in business planning & strategy, business analysis.",$69-$719
"Education & Training: training design, academic proofreading; General: ",Expert,"Expert Education & Training professional with experience in training design, academic proofreading.",$1677-$8191
"Database Management: oracle database administration, sql programming; General: ",Intermediate,"Intermediate Database Management professional with experience in oracle database administration, sql programming.",$1244-$1596
"UI/UX Design: user interface design, prototyping, ux & ui, mobile ui design; General: git, agile",Expert,"Expert UI/UX Design professional with experience in user interface design, prototyping, ux & ui, mobile ui design.",$4047-$6338
"Cybersecurity: firewall, source code scanning; General: ",Entry Level,"Entry Level Cybersecurity professional with experience in firewall, source code scanning.",$228-$593
"Database Management: transact-sql, database architecture, data warehousing; General: git, sql",Intermediate,"Intermediate Database Management professional with experience in transact-sql, database architecture, data warehousing.",$1499-$2832
"Writing & Content Creation: product documentation, ebook writing; General: project management, agile",Entry Level,"Entry Level Writing & Content Creation professional with experience in product documentation, ebook writing.",$361-$875
"Data Science: bayesian statistics, hypothesis testing, data analysis; General: sql, agile",Intermediate,"Intermediate Data Science professional with experience in bayesian statistics, hypothesis testing, data analysis.",$715-$2544
"Database Management: mariadb, mysql, sql; General: project management",Intermediate,"Intermediate Database Management professional with experience in mariadb, mysql, sql.",$1387-$1699
"UI/UX Design: ux copy, visual communication; General: ",Intermediate,"Intermediate UI/UX Design professional with experience in ux copy, visual communication.",$923-$2416
"Database Management: oracle database, sql; General: ",Intermediate,"Intermediate Database Management professional with experience in oracle database, sql.",$595-$2888
"Web Development: software developer, software architecture & design; General: ",Entry Level,"Entry Level Web Development professional with experience in software developer, software architecture & design.",$147-$637
"Translation & Languages: greek, french to english translation, english to italian translation; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in greek, french to english translation, english to italian translation.",$491-$964
"Marketing & SEO: linkedin marketing, google ads, google tag manager, analytics & tracking setup; General: ",Intermediate,"Intermediate Marketing & SEO professional with experience in linkedin marketing, google ads, google tag manager, analytics & tracking setup.",$910-$2798
"Business & Consulting: organizational design & effectiveness, business modeling, business innovation; General: agile",Expert,"Expert Business & Consulting professional with experience in organizational design & effectiveness, business modeling, business innovation.",$4660-$6876
"Writing & Content Creation: article writing, journalism writing, content seo, content analysis; General: git, api",Expert,"Expert Writing & Content Creation professional with experience in article writing, journalism writing, content seo, content analysis.",$2255-$7510
"Translation & Languages: english to danish translation, vietnamese, swedish, french to german translation; General: ",Expert,"Expert Translation & Languages professional with experience in english to danish translation, vietnamese, swedish, french to german translation.",$2525-$9250
"Marketing & SEO: social media engagement, content writing; General: git",Expert,"Expert Marketing & SEO professional with experience in social media engagement, content writing.",$1988-$7465
"Writing & Content Creation: blog writing, blog content, creative writing; General: git, project management",Intermediate,"Intermediate Writing & Content Creation professional with experience in blog writing, blog content, creative writing.",$769-$2507
"Cybersecurity: firewall, security testing, security infrastructure; General: ",Entry Level,"Entry Level Cybersecurity professional with experience in firewall, security testing, security infrastructure.",$376-$721
"Writing & Content Creation: social media content, academic writing; General: api",Expert,"Expert Writing & Content Creation professional with experience in social media content, academic writing.",$3973-$6350
"Marketing & SEO: email marketing, social media marketing, seo keyword research, search engine optimization; General: git, api",Intermediate,"Intermediate Marketing & SEO professional with experience in email marketing, social media marketing, seo keyword research, search engine optimization.",$1128-$1645
"Education & Training: training presentation, training, academic content development, program management; General: api, project management",Intermediate,"Intermediate Education & Training professional with experience in training presentation, training, academic content development, program management.",$575-$2749
"Business & Consulting: business modeling, business consulting; General: ",Entry Level,"Entry Level Business & Consulting professional with experience in business modeling, business consulting.",$271-$604
"Marketing & SEO: analytics & tracking setup, content writing; General: ",Expert,"Expert Marketing & SEO professional with experience in analytics & tracking setup, content writing.",$3951-$9814
"Web Development: virtual reality, api documentation, gatsby.js; General: git, agile",Intermediate,"Intermediate Web Development professional with experience in virtual reality, api documentation, gatsby.js.",$1327-$1524
"Education & Training: teaching english, exam preparation, program evaluation, training plan; General: project management, agile",Intermediate,"Intermediate Education & Training professional with experience in teaching english, exam preparation, program evaluation, training plan.",$1158-$2745
"UI/UX Design: design enhancement, user interface design; General: ",Entry Level,"Entry Level UI/UX Design professional with experience in design enhancement, user interface design.",$162-$983
"Education & Training: education, higher education, instructional design, tutoring; General: sql",Expert,"Expert Education & Training professional with experience in education, higher education, instructional design, tutoring.",$2264-$7048
"DevOps: devops, openshift, serverless computing, azure cosmos db; General: api, project management",Intermediate,"Intermediate DevOps professional with experience in devops, openshift, serverless computing, azure cosmos db.",$1087-$1786
"Business & Consulting: sales development, corporate strategy, business writing, corporate governance; General: ",Intermediate,"Intermediate Business & Consulting professional with experience in sales development, corporate strategy, business writing, corporate governance.",$1349-$1912
"Database Management: mongodb, oracle database; General: ",Intermediate,"Intermediate Database Management professional with experience in mongodb, oracle database.",$1180-$2733
"Marketing & SEO: google analytics, ecommerce marketing, seo strategy; General: git, sql",Entry Level,"Entry Level Marketing & SEO professional with experience in google analytics, ecommerce marketing, seo strategy.",$406-$553
"Business & Consulting: brand consulting, sales leadership; General: project management, api",Entry Level,"Entry Level Business & Consulting professional with experience in brand consulting, sales leadership.",$304-$605
"Project Management: team management, project timelines, digital project management, project delivery; General: agile",Expert,"Expert Project Management professional with experience in team management, project timelines, digital project management, project delivery.",$4499-$8212
"Business & Consulting: business modeling, business process modeling, brand consulting, business research; General: project management, sql",Expert,"Expert Business & Consulting professional with experience in business modeling, business process modeling, brand consulting, business research.",$4785-$8319
"Education & Training: curriculum design, career coaching, distance education; General: ",Expert,"Expert Education & Training professional with experience in curriculum design, career coaching, distance education.",$3240-$7500
"Translation & Languages: english to russian translation, swahili, portuguese to english translation; General: sql",Intermediate,"Intermediate Translation & Languages professional with experience in english to russian translation, swahili, portuguese to english translation.",$812-$2146
"Marketing & SEO: social media optimization, google optimize, seo keyword research, google analytics; General: project management, api",Expert,"Expert Marketing & SEO professional with experience in social media optimization, google optimize, seo keyword research, google analytics.",$4000-$5743
"Data Science: artificial neural network, dashboard, tableau; General: project management",Entry Level,"Entry Level Data Science professional with experience in artificial neural network, dashboard, tableau.",$174-$755
"Data Science: machine learning, rapidminer, data visualization; General: project management, agile",Entry Level,"Entry Level Data Science professional with experience in machine learning, rapidminer, data visualization.",$96-$581
"Web Development: software developer, mysql; General: ",Intermediate,"Intermediate Web Development professional with experience in software developer, mysql.",$1284-$2477
"Data Science: chatgpt, data visualization, pandas; General: ",Entry Level,"Entry Level Data Science professional with experience in chatgpt, data visualization, pandas.",$95-$628
"Web Development: database, software architecture & design, flask, interactive design; General: git, api",Expert,"Expert Web Development professional with experience in database, software architecture & design, flask, interactive design.",$1585-$6464
"Project Management: resource allocation, project management professional; General: project management",Intermediate,"Intermediate Project Management professional with experience in resource allocation, project management professional.",$952-$2617
"Database Management: database management, sql server integration services, nosql database, oracle database administration; General: ",Expert,"Expert Database Management professional with experience in database management, sql server integration services, nosql database, oracle database administration.",$4614-$8544
