Freelancer_ID,Skills,Experience_Years,Description,Project_Rate,Rating,Jobs_Completed
F0001,"color palette, adobe lightroom, print design",11,"Senior Graphic & Visual Design professional with 11 years of experience specializing in color palette, adobe lightroom, print design. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3675-$8602,4.9,150
F0002,"sql, analytics",4,"Mid-level Data Science professional with 4 years of experience specializing in sql, analytics. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$690-$1771,4.6,45
F0003,"data mining, statistics, data processing",2,"Entry-level Data Science professional with 2 years of experience specializing in data mining, statistics, data processing. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$59-$605,3.5,8
F0004,"sql programming, database architecture, sql",14,"Senior Database Management professional with 14 years of experience specializing in sql programming, database architecture, sql. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3570-$5749,4.6,132
F0005,"responsive design, user interface design",10,"Senior UI/UX Design professional with 10 years of experience specializing in responsive design, user interface design. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1650-$9117,4.6,94
F0006,"sql programming, database architecture",15,"Senior Database Management professional with 15 years of experience specializing in sql programming, database architecture. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4831-$8731,4.7,61
F0007,"english to thai translation, english to spanish translation, english to vietnamese translation",4,"Mid-level Translation & Languages professional with 4 years of experience specializing in english to thai translation, english to spanish translation, english to vietnamese translation. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1311-$2818,4.5,37
F0008,"lean consulting, resource allocation, project finance, team management",5,"Mid-level Project Management professional with 5 years of experience specializing in lean consulting, resource allocation, project finance. Brings deep expertise in team management, proficient in developing scalable solutions and optimizing workflows.",$984-$2668,4.5,15
F0009,"encryption, information security consultation, ethical hacking, network security, security assessment & testing",2,"Entry-level Cybersecurity professional with 2 years of experience specializing in encryption, information security consultation, ethical hacking. Brings deep expertise in network security, security assessment & testing, enthusiastic about solving real-world challenges and expanding expertise.",$310-$545,4.4,10
F0010,"user research, figma, ui/ux prototyping",1,"Entry-level UI/UX Design professional with 1 years of experience specializing in user research, figma, ui/ux prototyping. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$450-$989,3.5,5
F0011,"visual communication, adobe lightroom, 3d design, illustration",6,"Mid-level UI/UX Design professional with 6 years of experience specializing in visual communication, adobe lightroom, 3d design. Brings deep expertise in illustration, proficient in developing scalable solutions and optimizing workflows.",$671-$2698,4.7,11
F0012,"information security, web application security, security policies & procedures documentation, cyber threat intelligence, network security",5,"Mid-level Cybersecurity professional with 5 years of experience specializing in information security, web application security, security policies & procedures documentation. Brings deep expertise in cyber threat intelligence, network security, proficient in developing scalable solutions and optimizing workflows.",$605-$2106,4.5,42
F0013,"css, interactive design, database, php",2,"Entry-level Web Development professional with 2 years of experience specializing in css, interactive design, database. Brings deep expertise in php, enthusiastic about solving real-world challenges and expanding expertise.",$183-$796,4.3,2
